DateOfService,Program,CountOfServiceID
2018-07-21 00:00:00,HealthConnect,15
2022-10-18 00:00:00,HealthEquity,8
2019-05-26 00:00:00,Food Pantry,1
2020-01-23 00:00:00,HealthConnect,7
2022-08-04 00:00:00,ATI,5
2018-01-15 00:00:00,DV,1
2017-10-26 00:00:00,HealthConnect,11
2020-04-15 00:00:00,HealthConnect,2
2020-12-04 00:00:00,TPO,1
2019-09-16 00:00:00,Buprenorphine,6
2017-12-22 00:00:00,Food Pantry,75
2019-09-27 00:00:00,,1
2021-02-17 00:00:00,Buprenorphine,1
2017-05-22 00:00:00,TCE,1
2021-09-02 00:00:00,Buprenorphine,3
2017-08-30 00:00:00,Food Pantry,146
2019-11-01 00:00:00,HealthConnect,24
2019-10-11 00:00:00,DV,2
2022-04-16 00:00:00,HealthEquity,8
2017-01-30 00:00:00,MHU,12
2022-01-31 00:00:00,ATI,7
2018-04-10 00:00:00,HealthConnect,7
2019-02-12 00:00:00,Buprenorphine,4
2021-08-02 00:00:00,Buprenorphine,3
2016-09-19 00:00:00,MHU,12
2019-09-05 00:00:00,Food Pantry,9
2017-09-30 00:00:00,Food Pantry,99
2020-03-20 00:00:00,Food Pantry,138
2021-03-09 00:00:00,Food Pantry,175
2019-06-21 00:00:00,HealthConnect,14
2020-02-21 00:00:00,DV,3
2021-05-11 00:00:00,Buprenorphine,3
2022-07-16 00:00:00,ATI,1
2019-10-30 00:00:00,DV,7
2019-12-23 00:00:00,HealthConnect,1
2020-05-14 00:00:00,DV,14
2021-02-25 00:00:00,TPO,7
2022-11-18 00:00:00,HealthEquity,2
2019-12-30 00:00:00,PepAndPrep,3
2018-01-17 00:00:00,HealthConnect,19
2019-05-06 00:00:00,Buprenorphine,7
2019-12-28 00:00:00,Food Pantry,97
2016-04-06 00:00:00,MHU,15
2020-01-21 00:00:00,DV,5
2016-09-29 00:00:00,TCE,3
2022-03-28 00:00:00,HealthEquity,11
2018-05-15 00:00:00,MHU,29
2021-04-22 00:00:00,Buprenorphine,3
2018-01-10 00:00:00,Food Pantry,96
2022-12-08 00:00:00,DV,8
2019-08-26 00:00:00,MHU,11
2021-01-29 00:00:00,Buprenorphine,5
2022-09-23 00:00:00,ATI,1
2016-03-18 00:00:00,MHU,16
2019-11-20 00:00:00,HealthConnect,19
2018-04-03 00:00:00,Food Pantry,46
2018-12-01 00:00:00,HealthConnect,15
2020-01-16 00:00:00,Food Pantry,7
2020-12-02 00:00:00,DV,6
2018-02-10 00:00:00,Food Pantry,73
2022-12-15 00:00:00,ATI,8
2018-02-21 00:00:00,MHU,34
2019-05-31 00:00:00,DV,7
2021-07-20 00:00:00,Food Pantry,148
2016-04-16 00:00:00,Food Pantry,101
2016-12-14 00:00:00,HealthConnect,4
2022-06-19 00:00:00,HealthEquity,9
2020-04-08 00:00:00,Food Pantry,270
2020-12-29 00:00:00,Buprenorphine,9
2021-02-23 00:00:00,DV,5
2018-06-15 00:00:00,MHU,17
2022-02-25 00:00:00,HealthEquity,39
2018-02-02 00:00:00,MHU,26
2020-05-04 00:00:00,HealthConnect,16
2020-01-02 00:00:00,DV,6
2022-07-08 00:00:00,HealthEquity,5
2016-05-17 00:00:00,Food Pantry,2
2019-08-07 00:00:00,MHU,4
2019-10-25 00:00:00,Food Pantry,118
2019-07-19 00:00:00,PepAndPrep,1
2020-05-09 00:00:00,Food Pantry,502
2022-06-13 00:00:00,ATI,1
2020-12-21 00:00:00,DV,5
2019-04-17 00:00:00,Buprenorphine,2
2021-07-06 00:00:00,DV,3
2018-05-23 00:00:00,Food Pantry,101
2020-06-04 00:00:00,HealthConnect,13
2019-08-19 00:00:00,PepAndPrep,1
2020-09-18 00:00:00,Buprenorphine,5
2016-05-09 00:00:00,MHU,14
2018-08-09 00:00:00,HealthConnect,5
2020-08-26 00:00:00,HealthConnect,8
2016-02-24 00:00:00,Food Pantry,60
